"subjectID","structureID","nodeID","ad","ad_sd","ad_inverse_mean","ad_inverse_sd","fa","fa_sd","fa_inverse_mean","fa_inverse_sd","md","md_sd","md_inverse_mean","md_inverse_sd","rd","rd_sd","rd_inverse_mean","rd_inverse_sd","ndi","ndi_sd","ndi_inverse_mean","ndi_inverse_sd","isovf","isovf_sd","isovf_inverse_mean","isovf_inverse_sd","odi","odi_sd","odi_inverse_mean","odi_inverse_sd","x_coords","y_coords","z_coords","Timepoint","tags","datatype_tags"
"R001","ROIrhlgnROIparc203",80,1.121388179,"0.035095352","0.894539363","0.028135396",0.273718975,"0.027283694","3.731121516","0.352249989",0.855806033,"0.012664736","1.170372409","0.01673877",0.723014971,"0.021730074","1.387472897","0.042371071",0.564034092,"0.017942151","1.778899912","0.056144867",0.038567045,"0.013609067","35.91841294","11.59020907",0.258798148,"0.023714043","3.947916438","0.370456433","32.13356007","-65.00647393","12.66633703","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",81,1.124668771,"0.033526967","0.891844252","0.026806229",0.274800098,"0.024907531","3.706439216","0.319403043",0.857401726,"0.014659098","1.168305998","0.019388438",0.723768216,"0.021856051","1.3858145","0.041991043",0.571307206,"0.017703873","1.755690142","0.053887372",0.045774045,"0.016109961","31.20801974","10.51235391",0.257839804,"0.022094018","3.950650623","0.34565706","32.35533335","-65.45371069","12.21495161","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",82,1.130697536,"0.03016756","0.886801422","0.024056865",0.274397295,"0.022057905","3.703167197","0.27779883",0.862355053,"0.015990175","1.161635749","0.021180542",0.728183825,"0.021984651","1.37736417","0.041817242",0.581226855,"0.01776429","1.725398982","0.052465491",0.057024107,"0.017459752","25.32338102","9.892972184",0.257285367,"0.019475279","3.946627105","0.309894746","32.57694128","-65.87578494","11.737863","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",83,1.135379848,"0.024721639","0.882678564","0.019600339",0.272521222,"0.018824622","3.719368256","0.232296744",0.86756066,"0.014925974","1.154385596","0.019811042",0.73365108,"0.020478426","1.366604589","0.039016121",0.591010126,"0.017248474","1.696410577","0.049646051",0.067790608,"0.015956983","19.48220084","7.959340637",0.257990555,"0.015766548","3.924619519","0.259517321","32.80117934","-66.27235155","11.23990643","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",84,1.135816948,"0.019100574","0.8819885","0.014957796",0.271737802,"0.015282773","3.718770963","0.185854906",0.868768847,"0.011814147","1.152377151","0.015617333",0.735244809,"0.01682306","1.36274476","0.032230309",0.59615686,"0.015750638","1.681551982","0.044717852",0.071618245,"0.012048706","16.36097234","5.104943366",0.259354551,"0.012146679","3.895494449","0.206669449","33.02186187","-66.64283555","10.72190183","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",85,1.132295374,"0.01648095","0.884666957","0.012968831",0.272470163,"0.012250263","3.700693266","0.147386006",0.865857694,"0.011599332","1.156031562","0.015516707",0.732638862,"0.014753318","1.366861006","0.028448563",0.595710459,"0.015527156","1.682791247","0.044011144",0.068060868,"0.013943222","17.26564116","6.513917365",0.261600013,"0.009883432","3.859298302","0.163800379","33.2354322","-66.98805698","10.1854765","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",60,1.255163892,"0.043294281","0.799767097","0.028425632",0.260965188,"0.031363487","4.041841015","0.419393047",0.97285421,"0.031256669","1.030814274","0.033474628",0.83169936,"0.036932376","1.211270972","0.055440128",0.482060714,"0.029614701","2.091390335","0.117631062",0.053294766,"0.015598798","31.82795048","49.75172789",0.218752131,"0.040385079","6.141791654","2.771457414","30.25848512","-54.2508096","15.33866198","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",61,1.254198767,"0.03806313","0.799653231","0.025250941",0.265391523,"0.027773027","3.958413883","0.372738856",0.967561476,"0.028339641","1.036622121","0.029944678",0.824242838,"0.034822988","1.223060126","0.051555283",0.485150698,"0.028260569","2.076657856","0.110902139",0.051808414,"0.016963588","24.28417785","31.25349432",0.21134136,"0.038812478","6.107063099","2.394797939","30.24207673","-54.90870174","15.3931318","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",62,1.258804119,"0.036478879","0.796387671","0.024072555",0.271301349,"0.026511392","3.868018512","0.367787765",0.965282433,"0.029422295","1.039626274","0.03041919",0.818521614,"0.037070695","1.233242371","0.053948797",0.488727492,"0.027478697","2.061499118","0.106955392",0.052963526,"0.019827326","18.57885544","20.08870767",0.203358651,"0.036766281","6.166971876","2.051956624","30.242326","-55.56304828","15.42079458","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",63,1.266482117,"0.038372933","0.791506104","0.024772564",0.277111988,"0.027878736","3.785705397","0.387724711",0.96532208,"0.034365946","1.040303471","0.035034791",0.814742098,"0.043164108","1.240633542","0.063002996",0.493313866,"0.028731543","2.043850995","0.110165739",0.056950804,"0.0239713","15.23795929","12.22953366",0.197367801,"0.036434031","6.210083593","1.893348444","30.25735314","-56.21327654","15.42003991","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
